schedule_date,season,week,week_label,home_team,score_home,score_away,away_team,team_favorite_id,spread_favorite,home_line,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,stadium,stadium_neutral,point_diff,home_win
2020-09-10,2020,1,Week 1,KC,34,20,HOU,KC,-9.0,-9.0,54.0,,,,Arrowhead Stadium,False,14,1.0
2020-09-13,2020,1,Week 1,ATL,25,38,SEA,SEA,-1.0,1.0,49.0,72.0,0.0,,Mercedes-Benz Stadium,False,-13,0.0
2020-09-13,2020,1,Week 1,BAL,38,6,CLE,BAL,-7.0,-7.0,47.5,,,,M&T Bank Stadium,False,32,1.0
2020-09-13,2020,1,Week 1,BUF,27,17,NYJ,BUF,-6.5,-6.5,39.5,,,,New Era Field,False,10,1.0
2020-09-13,2020,1,Week 1,CAR,30,34,LV,LV,-3.0,3.0,48.0,,,,Bank of America Stadium,False,-4,0.0
2020-09-13,2020,1,Week 1,CIN,13,16,LAC,LAC,-3.0,3.0,41.5,,,,Paul Brown Stadium,False,-3,0.0
2020-09-13,2020,1,Week 1,DET,23,27,CHI,DET,-2.5,-2.5,42.5,72.0,0.0,,Ford Field,False,-4,0.0
2020-09-13,2020,1,Week 1,JAX,27,20,IND,IND,-8.0,8.0,45.0,,,,TIAA Bank Field,False,7,1.0
2020-09-13,2020,1,Week 1,LA,20,17,DAL,DAL,-2.0,2.0,51.5,72.0,0.0,,SoFi Stadium,False,3,1.0
2020-09-13,2020,1,Week 1,MIN,34,43,GB,MIN,-2.5,-2.5,44.5,72.0,0.0,,U.S. Bank Stadium,False,-9,0.0
2020-09-13,2020,1,Week 1,NE,21,11,MIA,NE,-7.0,-7.0,41.5,,,,Gillette Stadium,False,10,1.0
2020-09-13,2020,1,Week 1,NO,34,23,TB,NO,-3.5,-3.5,47.5,72.0,0.0,,Mercedes-Benz Superdome,False,11,1.0
2020-09-13,2020,1,Week 1,SF,20,24,ARI,SF,-6.5,-6.5,48.0,,,,Levi's Stadium,False,-4,0.0
2020-09-13,2020,1,Week 1,WAS,27,17,PHI,PHI,-5.0,5.0,42.0,,,,FedEx Field,False,10,1.0
2020-09-14,2020,1,Week 1,DEN,14,16,TEN,TEN,-3.0,3.0,41.0,,,,Sports Authority Field at Mile High,False,-2,0.0
2020-09-14,2020,1,Week 1,NYG,16,26,PIT,PIT,-5.5,5.5,45.0,,,,MetLife Stadium,False,-10,0.0
2020-09-17,2020,2,Week 2,CLE,35,30,CIN,CLE,-6.0,-6.0,43.0,,,,FirstEnergy Stadium,False,5,1.0
2020-09-20,2020,2,Week 2,ARI,30,15,WAS,ARI,-7.0,-7.0,46.5,72.0,0.0,,University of Phoenix Stadium,False,15,1.0
2020-09-20,2020,2,Week 2,CHI,17,13,NYG,CHI,-5.5,-5.5,42.0,,,,Soldier Field,False,4,1.0
2020-09-20,2020,2,Week 2,DAL,40,39,ATL,DAL,-3.5,-3.5,53.5,72.0,0.0,,AT&T Stadium,False,1,1.0
2020-09-20,2020,2,Week 2,GB,42,21,DET,GB,-6.0,-6.0,50.0,,,,Lambeau Field,False,21,1.0
2020-09-20,2020,2,Week 2,HOU,16,33,BAL,BAL,-7.0,7.0,49.0,72.0,0.0,,NRG Stadium,False,-17,0.0
2020-09-20,2020,2,Week 2,IND,28,11,MIN,IND,-3.0,-3.0,49.0,72.0,0.0,,Lucas Oil Stadium,False,17,1.0
2020-09-20,2020,2,Week 2,LAC,20,23,KC,KC,-8.5,8.5,47.5,72.0,0.0,,SoFi Stadium,False,-3,0.0
2020-09-20,2020,2,Week 2,MIA,28,31,BUF,BUF,-5.5,5.5,42.0,,,,Hard Rock Stadium,False,-3,0.0
2020-09-20,2020,2,Week 2,NYJ,13,31,SF,SF,-7.0,7.0,41.5,,,,MetLife Stadium,False,-18,0.0
2020-09-20,2020,2,Week 2,PHI,19,37,LA,PHI,-1.5,-1.5,45.5,,,,Lincoln Financial Field,False,-18,0.0
2020-09-20,2020,2,Week 2,PIT,26,21,DEN,PIT,-6.5,-6.5,40.5,,,,Heinz Field,False,5,1.0
2020-09-20,2020,2,Week 2,SEA,35,30,NE,SEA,-4.0,-4.0,44.5,,,,CenturyLink Field,False,5,1.0
2020-09-20,2020,2,Week 2,TB,31,17,CAR,TB,-8.0,-8.0,47.0,,,,Raymond James Stadium,False,14,1.0
2020-09-20,2020,2,Week 2,TEN,33,30,JAX,TEN,-7.5,-7.5,44.0,,,,Nissan Stadium,False,3,1.0
2020-09-21,2020,2,Week 2,LV,34,24,NO,NO,-5.5,5.5,48.5,72.0,0.0,,Allegiant Stadium,False,10,1.0
2020-09-24,2020,3,Week 3,JAX,13,31,MIA,JAX,-3.0,-3.0,48.0,,,,TIAA Bank Field,False,-18,0.0
2020-09-27,2020,3,Week 3,ARI,23,26,DET,ARI,-5.5,-5.5,55.5,72.0,0.0,,University of Phoenix Stadium,False,-3,0.0
2020-09-27,2020,3,Week 3,ATL,26,30,CHI,ATL,-3.0,-3.0,47.0,72.0,0.0,,Mercedes-Benz Stadium,False,-4,0.0
2020-09-27,2020,3,Week 3,BUF,35,32,LA,BUF,-2.0,-2.0,47.0,,,,New Era Field,False,3,1.0
2020-09-27,2020,3,Week 3,CLE,34,20,WAS,CLE,-7.0,-7.0,44.5,,,,FirstEnergy Stadium,False,14,1.0
2020-09-27,2020,3,Week 3,DEN,10,28,TB,TB,-6.0,6.0,42.5,,,,Sports Authority Field at Mile High,False,-18,0.0
2020-09-27,2020,3,Week 3,IND,36,7,NYJ,IND,-11.5,-11.5,44.0,72.0,0.0,,Lucas Oil Stadium,False,29,1.0
2020-09-27,2020,3,Week 3,LAC,16,21,CAR,LAC,-6.5,-6.5,43.5,72.0,0.0,,SoFi Stadium,False,-5,0.0
2020-09-27,2020,3,Week 3,MIN,30,31,TEN,TEN,-2.5,2.5,50.0,72.0,0.0,,U.S. Bank Stadium,False,-1,0.0
2020-09-27,2020,3,Week 3,NE,36,20,LV,NE,-6.5,-6.5,47.0,,,,Gillette Stadium,False,16,1.0
2020-09-27,2020,3,Week 3,NO,30,37,GB,NO,-3.0,-3.0,53.0,72.0,0.0,,Mercedes-Benz Superdome,False,-7,0.0
2020-09-27,2020,3,Week 3,NYG,9,36,SF,SF,-3.0,3.0,43.0,,,,MetLife Stadium,False,-27,0.0
